time,header,state_vector,state_valid
2022/03/09 14:08:48.180079506,"{'stamp': {'secs': 1646834928, 'nsecs': 179807173}, 'frame_id': ''}","[-3.6981127969175955, -7.279183948391566, 0.0, -0.1290989994083638, 0.16162901215042946, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -1.1800193043189105e-11, 0.011327853]",0
2022/03/09 14:08:48.190307344,"{'stamp': {'secs': 1646834928, 'nsecs': 190076743}, 'frame_id': ''}","[-3.7019114827893604, -7.27411189937608, 0.0, -0.20083265924775537, 0.25950266403252076, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -1.3020166778717979e-11, 0.010266447]",0
2022/03/09 14:08:48.197082859,"{'stamp': {'secs': 1646834928, 'nsecs': 196040188}, 'frame_id': ''}","[-3.7057330245055757, -7.2690109011826465, 0.0, -0.3134687882703792, 0.4126572661476635, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -2.2427551294264448e-11, 0.005960118]",0
2022/03/09 14:08:48.200459324,"{'stamp': {'secs': 1646834928, 'nsecs': 200212922}, 'frame_id': ''}","[-3.708584241945716, -7.265207075750815, 0.0, -0.43594220957534874, 0.5785241988535581, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -3.206141884002753e-11, 0.004169212]",0
2022/03/09 14:08:48.212028354,"{'stamp': {'secs': 1646834928, 'nsecs': 211759284}, 'frame_id': ''}","[-3.7117320768634188, -7.2610101914362355, 0.0, -0.47624848215853194, 0.6346195198547323, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -1.158009679025092e-11, 0.011543155]",0
2022/03/09 14:08:48.224497589,"{'stamp': {'secs': 1646834928, 'nsecs': 224226466}, 'frame_id': ''}","[-3.715926500831897, -7.255416324816432, 0.0, -0.48195518220712047, 0.6430726531739858, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -1.072421244611002e-11, 0.012464398]",0
2022/03/09 14:08:48.233069278,"{'stamp': {'secs': 1646834928, 'nsecs': 232843420}, 'frame_id': ''}","[-3.720319109684438, -7.249557514026972, 0.0, -0.4707855763936923, 0.6280399889350681, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -1.551930021891616e-11, 0.008613201]",0
2022/03/09 14:08:48.245844603,"{'stamp': {'secs': 1646834928, 'nsecs': 245530564}, 'frame_id': ''}","[-3.72543677005127, -7.242730913761343, 0.0, -0.4243497823477103, 0.5660014403330376, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -1.0538836643859512e-11, 0.012683644]",0
2022/03/09 14:08:48.256647888,"{'stamp': {'secs': 1646834928, 'nsecs': 256363072}, 'frame_id': ''}","[-3.7299733097423076, -7.236679046446577, 0.0, -0.39763764689125547, 0.530362267025408, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -1.2344418073404708e-11, 0.010828445]",0
2022/03/09 14:08:48.265619466,"{'stamp': {'secs': 1646834928, 'nsecs': 265414392}, 'frame_id': ''}","[-3.733853067208777, -7.231500188544875, 0.0, -0.42409870450695175, 0.5657553470598766, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -1.4772940257764874e-11, 0.009048358]",0
2022/03/09 14:08:48.276743619,"{'stamp': {'secs': 1646834928, 'nsecs': 276517116}, 'frame_id': ''}","[-3.736715349813132, -7.227678223846739, 0.0, -0.4069629019436879, 0.5429987955602276, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -1.204329035378585e-11, 0.011099197]",0
2022/03/09 14:08:48.287396240,"{'stamp': {'secs': 1646834928, 'nsecs': 287175042}, 'frame_id': ''}","[-3.740141544416289, -7.223104567758545, 0.0, -0.36844077637146094, 0.4917082759803128, 0.0, 0.0, -0.0, 2.103308266310222e-05, 0.0, 0.0, 0.0024570875547648245, 0.010654866]",0
2022/03/09 14:08:48.299492669,"{'stamp': {'secs': 1646834928, 'nsecs': 297025007}, 'frame_id': ''}","[-3.7441834560598846, -7.217712392106796, 0.0, -0.35793448709709885, 0.47772109577704663, 0.0, 0.0, -0.0, 7.339296022301767e-05, 0.0, 0.0, 0.005317586743278495, 0.009846549]",0
2022/03/09 14:08:48.299591011,"{'stamp': {'secs': 1646834928, 'nsecs': 299105037}, 'frame_id': ''}","[-3.7483589764000786, -7.212143937335079, 0.0, -0.6025069909980958, 0.8038385308129081, 0.0, 0.0, -0.0, 7.339296022301767e-05, 0.0, 0.0, -1.2420928033296554e-09, 0.002077982]",0
